OBJECTID,7,7_30,8,9,8_30,9_30,10,10_30,11_30,11,12,12_30,13,13_30,14,14_30,15,15_30,16,16_30
3068,132,128,100,112,110,109,112,108,112,110,107,108,88,122,117,104,76,79,54,55
3069,132,128,100,112,110,109,112,108,112,110,107,108,88,122,117,104,76,79,54,55
3070,687.1,665.7,519.1,582.4,570.7,565.7,581.2,561.4,581,570.7,554.7,561.4,456.7,632.8,607.4,541.1,397,412.3,282.2,287.3
3071,887.5,858.6,667.4,750.9,733,727.1,747,723.6,746.2,733,711.5,723.6,587,812.6,781,698.6,516,535.1,366.9,373.5
3072,837.8,822.8,632.7,723.2,719.4,696.3,693.8,699.8,696.2,695.8,671.8,664.9,551.5,756.9,720.6,645.6,475.7,503,340.8,347.9
3073,843.7,851.2,634.9,754.8,771.6,712.8,665.4,735.5,673,698.2,664.2,627.4,542.4,728.7,681.8,620,463,508.2,337.7,346.3
3074,1074.7,1087.4,809.4,965.3,990.1,910.6,844.5,941.3,855,890.3,846.1,794.3,690.2,925.5,864,786.1,586.8,646.8,428.7,439.9
3075,2080.1,2129,1564.9,1905.1,1972.9,1776.4,1599.9,1858.9,1623.4,1723.1,1624.2,1489.1,1324.9,1751,1620.4,1483.9,1116.6,1249.5,821.9,844.2
3076,427.9,454,320.5,413.3,441.1,374.1,305.7,405.5,313.5,353.4,325.2,275.4,264.2,335,300.7,282.3,217.8,257.1,164.6,170
3077,272.7,304.9,202.8,283.1,314.5,246.6,172,280.3,180.2,223.9,198.7,146,159.9,189.6,160.5,158.3,127.5,164.3,100.8,105.1
3113,228.1,255.7,169.1,234.2,262,205.9,142.2,233.9,150.1,186,165.7,121.9,132,159,134.6,133.5,107.1,139.3,85,89.1
3114,203.2,222.9,151,202.9,223.1,180.8,133.8,201.6,139.7,166.1,150.1,117.6,120.3,148.8,129.3,125.4,98.9,123.8,77,80.3
3115,1018.2,1080.8,762.4,982.6,1049.7,890.2,726.3,964.9,745.5,840.4,773.6,654.8,627.7,797,715.1,671.8,518.2,612.4,391.9,404.8
3116,956.2,987.9,723.3,885.2,919.4,817.5,729.1,859.7,739.6,793.8,745.6,676.8,608.9,796.9,740.5,676.3,513.6,577.1,379.9,389
3117,1905.8,1946.1,1466.7,1884,1886.8,1641.4,1518.8,1742.2,1488.9,1636.9,1503,1351.5,1287,1558,1455.3,1291.4,1011.8,1073.5,732.5,726.7
3118,924.6,997.7,711.3,959.2,1005.6,815.1,665.9,901.3,665.6,787,705.6,574.6,594.1,693.1,629.5,573.7,466.1,535.6,351.4,352.8
3119,1335.6,1324.6,1045.2,1467.4,1393,1173.3,1139,1265.9,1056.2,1209.3,1067.3,938.6,988.3,1045.7,969.9,826.9,680.6,648,473,440.6
3120,262,291.7,207.2,286.6,300.1,232.1,185.4,262,183.1,227.4,199.9,155.4,171,187.8,173.7,154.1,132.1,151.4,100.6,99.1
3121,79.3,78.9,69.4,96,82.7,67,78.1,71.6,67.7,78.8,68.3,63.4,68.2,64.5,68.1,49.7,45.8,35.3,30.3,25.3
3122,87.8,90.9,78.7,107.5,93.8,73.6,84.9,79.5,73.7,87.6,75.8,69.3,75.1,70.6,76.7,54.9,52.1,41.3,35.2,29.5
3123,124.1,131.3,105.6,145.3,135.7,106.6,107.9,116.9,97.7,117.4,102.2,88.7,96.4,95.8,97.8,75.8,68.9,63,48.5,43.4
3125,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3126,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3127,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3128,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3129,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3136,510.9,495.1,385.8,433.2,424.5,420.6,431.7,417.6,431.6,424.1,412.1,417.1,339.3,470,451.1,402.2,295.3,306.8,209.9,213.8
3137,398.8,386.9,301.8,338.7,332.7,329.2,337.5,326.6,337.6,331.9,322.7,325.5,265.4,367.7,352.5,313.7,229.6,238.9,163.2,166.3
3138,395.4,386.6,296.6,339.3,334.8,325.7,326.3,327.9,326.9,325.7,314.2,314.5,258.9,355.4,339.5,305.7,227.3,239,162.7,165.9
3139,185,200.2,130.8,181.8,194.1,156.9,113.7,180.1,118.1,142.3,126.1,103.7,103.3,125.2,110.2,113.4,96.7,117.9,75.2,78.1
3140,283.4,320.1,209.9,293.9,330.6,257.1,173.2,293.8,183.7,230.9,204.6,146.9,162.7,194.1,162.7,162.7,131.2,173.2,105,110.2
